Property Id,Property Name,Year Ending,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu)
20476442,345 Lenox Road Condominium,12/31/2021,3-04837-7502,3425796,345 Lenox Road,Brooklyn,11226,100,50,25.1,26,58.5,986346.5,1020180.5,3.4,45.7,47.4,106.5,1794370.3,1860059.5,433546.5,127065.2,132116.9,127065.2,433546.5
20480745,27 Prospect Park West,12/31/2021,3-01072-0040,3024968,27 Prospect Park West,Brooklyn,11215,92,50,63.4,68.6,93.8,3846409.5,4164681.6,2.9,84.1,89.2,124.5,5104972.2,5415980.7,609281.3,178570.1,174688.5,178570.1,609281.2
6779567,Zara - 57th Ave,12/31/2021,4019020010,4047077,94-25 57th Ave,Queens,11373,100,50,12.9,12.3,38,2427309,2310972.7,3.6,36.2,34.5,106.5,6796465.1,6470723.6,2427309,711403.5,677307.3,711403.6,2427309.1
4940498,ZARA - 91-60 193 Street,12/31/2021,4108200068,4231504,91-60 193 Street,Hollis,11423,56,50,81,84.4,84.7,5713252.6,5954240.4,3.8,108.2,111.4,113.2,7632982.5,7857764.7,933752.7,273667.2,268935.2,273667.3,933752.8
6671379,Renaissance Realty - 527 Lincoln Place,12/31/2021,3011780067,3029607,527 Lincoln Place,Brooklyn,11238,21,50,97.2,102.2,79.4,2602206.2,2736196.6,7.9,151.1,154.5,123.4,4047094.7,4137141.4,751301.8,220193.9,211712.4,220194,751301.9
6309259,300 West End Avenue,12/31/2021,1-01166-0001,1030718,300 West End Avenue,New York,10023,94,50,53.7,56.9,83.1,6708080.4,7112333.5,4.4,83.3,86,129,10416219.8,10744692.6,1927277.4,564852.6,548776.1,564852.7,1927277.4
6636844,414 West 54th Street,12/31/2021,1-01063-7501,1070070,414 West 54th Street,New York,10019,55,50,77.1,81.9,80.1,2082802.9,2214729.8,6.3,119.4,123.5,124.1,3226609.1,3337150,594094.9,174119.2,169432.9,174119.2,594094.7
6789371,720 St. Mary's Street,12/31/2021,2-02573-0049,2003864,720 St. Mary's St.,Bronx,10454,87,50,73.2,75.7,98.9,3629734.7,3756870.3,3.8,99.8,102,134.9,4950928,5060781.9,651260.9,190873.6,186914.8,190873.6,651260.7
6671393,Renaissance Realty - 519 Lincoln Place,12/31/2021,3011780069,3029608,519 Lincoln Place,Brooklyn,11238,4,50,167.1,180.5,108.9,4751279.4,5132428,5.4,207.9,221.6,135.6,5914096.3,6303307.2,528715.9,154957.8,153116.4,154957.8,528716
4940493,ZARA - 90-36 149 Street,12/31/2021,4-09678-0112,4206814,90-36 149 Street,Jamaica,11435,39,50,83.1,86.3,77.8,9183798.4,9542103.8,6,123.7,126.6,115.7,13668685.9,13994748.9,2300398.7,674208.2,665808,674208.3,2300398.7
6671465,Renaissance Realty - 505 Lincoln Place,12/31/2021,3-01178-0075,3029610,505 Lincoln Place,Brooklyn,11238,100,50,19.5,18.9,41.8,498210.8,482763.3,5.5,54.6,52.9,117,1394990.1,1351737.3,498210.8,146017.2,141489.8,146017.2,498210.7
6292407,ZARA - 89-21 153 LLC,12/31/2021,4-09755-0001,4208828,89-21 153rd Street,Queens,11432,91,50,82.2,86,119.1,3401395.1,3558229,3.8,109.2,112.7,158.3,4520831.7,4666111.3,542495.3,158996.3,155747.9,158996.3,542495.4
6671476,Renaissance Realty - 495 Lincoln Place,12/31/2021,3011780079,3029611,495 Lincoln Place,Brooklyn,11238,1,50,206.5,222.7,89.1,5277655.5,5691014.6,5.1,248.1,264.2,107,6340335.8,6752689.1,456455.7,133779.5,130149.7,133779.5,456455.7
22739732,Fodera Enterprises,12/31/2021,4018330215,4437274; 4437273; 4437276; 4437277; 4437275; 4610290,127-92 Willets Point Boulevard,Corona,11368,Not Available,50,51.1,51.4,19.4,4755190.4,4783926.5,14.3,139,139.3,52.9,12936008,12966180.9,4538890.3,1330272.5,1330272.5,1330273,4538891.5
